"Software Version",Count,Percent
"2023.26.9 11.3.6",1,"0%"
"2023.38.200.1",1,"0%"
"2023.44.30.7 11.4.9",1,"0%"
"2024.3.15 12.3.4",1,"0%"
"2024.8.7 11.4.9",1,"0%"
"2024.14.3",1,"0%"
"2024.2.200.2",2,"0.1%"
"2024.3.25 12.3.6",2,"0.1%"
"2024.14.100.1 12.3.6",2,"0.1%"
"2024.20.8 12.3.6",2,"0.1%"
"2024.26.4 12.3.6",2,"0.1%"
"2024.20.6.1 12.3.6",3,"0.1%"
"2023.44.30.9 11.4.9",4,"0.2%"
"2024.3.10 12.3.3",4,"0.2%"
"2024.20.6.2 12.3.6",5,"0.2%"
"2024.20.9.1 12.3.6",10,"0.4%"
"2024.20.10 12.5",11,"0.4%"
"2024.20.3 12.3.6",12,"0.5%"
"2024.15.15 12.4.3",13,"0.5%"
"2023.44.30.8 11.4.9",15,"0.6%"
"2024.14.9 12.3.6",16,"0.6%"
"2024.20.1 12.3.6",25,"1%"
"2024.20.15 12.5.1",25,"1%"
"2024.20.200 12.3.6",28,"1.1%"
"2024.20.7 12.3.6",38,"1.5%"
"2024.20.100 12.3.6",81,"3.3%"
"2024.26.3.1 12.3.6",154,"6.2%"
"2024.21.5 12.5.1.1",281,"11.4%"
"2024.26.7 12.3.6",311,"12.6%"
"2024.26.6 12.3.6",346,"14%"
"2024.20.9 12.3.6",382,"15.5%"
"2024.26.10 12.5.1.3",690,"27.9%"